Sex,MaritalStatus,Age,Occupation,Income,YearsinBayArea,DualIncome,NumberInHousehold,NumberOfChildrens,HouseholderStatus,TypeOfHome,Ethnic,Language,Education,Class
F,Common-Law,35,Doctor,90000,5,No,9,8,B,Bunglow,E,Spanish,HighSchool,1
F,Single,35,Doctor,10000,15,Yes,7,2,A,Mansion,G,English,PhD,1
M,Married,25,Engineer,30000,25,Maybe,4,9,B,Villa,C,English,Other,0
M,Seperated,20,Student,20000,5,Maybe,5,8,B,Mansion,B,Spanish,Undergraduate,0
F,Divorced,50,Accountant,60000,25,Maybe,7,1,C,Mansion,B,French,Graduate,1
M,Single,40,Doctor,70000,5,No,1,8,A,Villa,G,French,Undergraduate,1
F,Seperated,40,Cleaner,80000,25,No,3,6,A,RV,D,Spanish,Other,1
M,Divorced,40,Student,40000,20,Yes,2,8,A,Mansion,C,Spanish,Diploma,1
M,Common-Law,45,Engineer,10000,25,No,5,1,C,RV,G,French,Other,1
M,Common-Law,45,Accountant,50000,5,Maybe,3,7,C,Mansion,C,Spanish,Other,1
F,Divorced,45,Doctor,50000,5,Yes,1,9,A,Mansion,H,Spanish,Graduate,1
M,Single,40,Cleaner,60000,5,No,1,9,B,Apartment,F,French,Undergraduate,1
M,Single,20,Pilot,50000,25,No,8,1,A,Apartment,E,French,Diploma,1
F,Married,30,Accountant,50000,10,Maybe,2,4,B,Bunglow,D,French,Graduate,0
F,Common-Law,35,Engineer,60000,15,Yes,5,3,A,RV,A,French,Undergraduate,0
F,Single,45,Pilot,90000,25,Yes,9,9,B,RV,A,Spanish,Diploma,0
M,Seperated,30,Cleaner,70000,15,No,5,3,A,Apartment,A,Spanish,Undergraduate,0
M,Common-Law,40,Student,70000,20,No,2,7,C,Mansion,C,Spanish,Diploma,1
F,Seperated,40,Teacher,20000,10,Yes,7,4,B,Villa,H,French,Other,0
M,Married,25,Engineer,20000,25,No,8,4,B,Apartment,H,Spanish,Undergraduate,0
M,Divorced,35,Student,10000,15,No,6,3,A,Apartment,A,English,PhD,1
F,Divorced,50,Student,50000,20,Maybe,1,6,B,Apartment,F,English,Other,1
M,Married,50,Student,50000,10,Yes,9,6,A,RV,H,English,Other,1
F,Single,30,Accountant,20000,20,Yes,4,1,A,Villa,G,English,Graduate,1
M,Seperated,45,Engineer,30000,25,Maybe,6,2,A,Bunglow,E,French,Graduate,0
F,Seperated,50,Accountant,80000,15,Maybe,3,1,A,Mansion,A,French,PhD,1
M,Seperated,35,Doctor,30000,20,No,5,1,B,Bunglow,E,English,Undergraduate,1
M,Divorced,20,Engineer,50000,10,Maybe,2,5,B,Bunglow,H,French,Other,1
M,Divorced,40,Accountant,40000,10,Maybe,2,4,C,RV,B,French,Other,1
M,Common-Law,20,Doctor,60000,25,Maybe,2,1,B,RV,F,French,Diploma,0
F,Seperated,20,Student,40000,15,Yes,3,1,B,Mansion,H,English,Undergraduate,0
M,Common-Law,50,Doctor,70000,5,No,9,8,B,Bunglow,C,French,Graduate,0
M,Single,20,Pilot,40000,10,Yes,6,2,C,Villa,A,Spanish,Diploma,0
F,Married,35,Cashier,40000,10,Yes,8,1,C,Villa,E,French,Undergraduate,1
F,Single,25,Cashier,50000,5,Maybe,4,1,C,Apartment,G,English,HighSchool,1
F,Divorced,30,Pilot,30000,25,Yes,7,8,A,Mansion,B,Spanish,Undergraduate,1
M,Married,40,Cashier,70000,15,Yes,3,2,C,Mansion,C,Spanish,HighSchool,0
M,Married,35,Cleaner,50000,25,Yes,6,7,B,RV,D,French,HighSchool,1
F,Married,50,Accountant,90000,20,Yes,8,2,B,Villa,D,English,Other,1
M,Seperated,40,Pilot,80000,5,No,6,1,A,Villa,E,English,Diploma,0
M,Married,45,Cashier,90000,20,Maybe,3,5,C,Bunglow,G,French,PhD,0
F,Common-Law,20,Pilot,70000,15,No,9,6,B,Apartment,A,English,Undergraduate,1
M,Divorced,40,Cashier,90000,25,Yes,8,2,A,Mansion,F,French,Undergraduate,0
M,Divorced,25,Cashier,60000,25,Maybe,5,5,A,RV,A,English,Other,0
M,Seperated,50,Driver,70000,20,No,5,5,A,Bunglow,C,English,Diploma,0
M,Seperated,30,Engineer,70000,25,Yes,5,2,A,Bunglow,H,English,Other,1
F,Common-Law,20,Driver,70000,10,No,7,1,B,Villa,G,English,Graduate,1
M,Single,30,Student,90000,15,Maybe,6,1,A,RV,F,Spanish,HighSchool,0
M,Common-Law,25,Cashier,80000,25,Yes,1,4,C,Mansion,D,French,PhD,1
F,Single,45,Cashier,90000,10,Maybe,6,1,A,Mansion,D,English,HighSchool,0
M,Common-Law,40,Cashier,90000,25,Maybe,9,6,C,Bunglow,B,English,Diploma,1
F,Common-Law,45,Teacher,30000,15,No,2,4,B,Mansion,F,French,Diploma,1
F,Single,35,Accountant,90000,20,Yes,2,9,A,RV,D,English,Other,1
M,Divorced,50,Doctor,50000,20,Yes,6,9,B,Mansion,F,French,PhD,1
F,Common-Law,35,Pilot,50000,20,No,6,1,A,Villa,G,French,Other,0
M,Seperated,30,Driver,10000,10,Yes,8,5,C,Mansion,B,English,Graduate,0
F,Divorced,45,Engineer,60000,25,Maybe,9,8,B,Apartment,H,French,Other,1
F,Divorced,25,Driver,50000,10,No,1,5,C,Apartment,E,English,Diploma,0
M,Common-Law,50,Engineer,40000,15,Maybe,8,3,C,RV,B,French,Diploma,1
M,Married,20,Teacher,70000,20,No,8,9,C,Villa,D,Spanish,PhD,0
